Company,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed,last_updated,id_code,country,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_other,end_target_year,end_target_status,status_date,interim_target,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,carbon_credit_offsets,carbon_credit_conditions,annual_revenue_billions
Coles Group,Food Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-1.95%,-62.96%,"-526,867,023","-494,805,743","-118,241","-6,640,354","-1,515,462","-21,046","-39,110","-23,744,842","17,775",8%,10/19/21 17:56,COM-0940,AUS,Company,AU0000030678,No,Net zero,,,,2050,Declaration / pledge,2021,Other,"Under the focus area of Together to zero emissions, we announced
our new energy and greenhouse gas emissions targets for 100%
renewable electricity by the end of FY25, to reduce combined Scope
1 and 2 greenhouse gas emissions by more than 75% by the end of
FY30 (from a FY20 baseline) and to have net zero emissions by 2050. ",Coles will source 100% of its electricity needs from renewable sources by the end of FY25 after the last of the power purchase agreements needed to meet the ambitious target were signed this week.  https://www.colesgroup.com.au/media-releases/?page=coles-secures-path-to-100--renewable-energy-by-end-of-fy25,,https://www.colesgroup.com.au/DownloadFile.axd?file=/Report/ComNews/20210917/02422626.pdf,Not Specified,,,,,Yes,Yes,No,No,"Our climate change response and disclosures are not static. They will
continue to evolve as we further assess the implications on our
business and the community more broadly. This will include
developing a Scope 3 emissions inventory, including boundaries and
priority areas, to support our intention of developing a Scope 3 target.",Yes,"Measures for all emission scopes that are covered by the target|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Yes,Not Specified,,25.8
Comerica,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",-0.30%,-0.76%,"-11,630,800","-11,234,495","-3,086","-149,137","-34,880",-525,"-3,282","-206,930","1,535",14%,10/23/21 13:26,COM-0376,USA,Company,US2003401070,No,Emissions reduction target,100,2012,,2050,In corporate strategy,2020,Emissions reduction target,100% reduction by 2050.,65% reduction by 2030.,"These goals are the 4th and 5th in  a series of reduction goals which so far have been met. The 2020 CR resport marks Comerica as having achieved 53% reductions.
",https://www.comerica.com/content/dam/comerica/en/documents/resources/about/sustainability/2020-comerica-cr-report-final.pdf,Not Specified,,,,,Yes,Yes,No,No,"The target includes Scope 1 & 2 adn location-based real estate emissions.
As well as stating: ""Comerica's current location-based, real estate-related GHG goals cover 99% of our overall Scope 1 and 2 GHG emissions with the remaining balance (Scope 1 travel-related emissions) offset using annual verified emissions reductions.""",No,,Annual reporting,No,No,Yes,No conditions specified,3.6
Commerzbank,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",-0.26%,-2.72%,"-38,346,565","-37,496,214","-10,162","-499,583","-116,993","-1,716","-20,202","-205,702","4,006",11%,10/28/22 6:56,COM-0318,DEU,Company,DE000CBK1001,Yes,Net zero,,,,2050,Declaration / pledge,,Emissions reduction target,"- Greenhouse gas emissions from lending and investment portfolio will be reduced and neutralised by 2050
- Own banking operations to be at net zero by 2040
- In managing its portfolio, Commerzbank will use the scientific approach of the Science-Based Targets Initiative, which it joined as the first German Bank in 2020
","Compared to 2018, greenhouse gas emissions are expected to be reduced by additional 15% by 2025.",,https://www.commerzbank.de/en/nachhaltigkeit/gesellschaft/klimaneutralitaet/klimaneutralitaet_1.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,Joining the Net-Zero Banking Alliance of UNEP FI emphasises commitment to measurement of Scope 3 financed emissions,Yes,,Annual reporting,No,Not Specified,Yes,Must be high environmental integrity|Avoid social harm|Other conditions,13
Compal Electronics,"Technology Hardware, Storage & Peripherals",Manufacture of office machinery and computers (30),-0.29%,-27.56%,"-95,379,065","-91,761,928","-22,264","-1,218,731","-281,185","-3,926","-15,832","-2,078,689","3,490",8%,11/25/21 4:36,COM-1613,TWN,Company,TW0002324001,Yes,Emissions reduction target,6,2014,,2020,Achieved (self-declared),2021,No target,"The greenhouse gas management objective for 2020 was a 6% reduction in emission per million dollars of revenue (NTD) compared to the base year of 2014.  In 2020, emissions per million of revenue (NTD) reduced by 22.4% compared to the base year 2014, achieving the target.",,,https://www.compal.com/csr/en/page.aspx?Id=22,Not Specified,,,,,Yes,Yes,Yes,No,,Yes,Schedule for regular review of measures,Annual reporting,No,Not Specified,Not Specified,,31.7
ConocoPhillips,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-17.92%,-81.69%,"-5,811,622,014","-5,447,417,401","-1,572,751","-74,619,937","-16,838,638","-263,655","-2,546,605","-269,432,122","1,069,095",1%,6/8/22 19:30,COM-0232,USA,Company,US20825C1045,No,Net zero,,,,2050,In corporate strategy,2020,Emissions intensity target,"""to become a net-zero company for operational (scope 1 and 2) emissions by 2050""","""... medium-term target to reduce our gross operated and net equity operational GHG emissions intensity by 40% to 50% by 2030, from a 2016 baseline.""",,https://www.conocophillips.com/sustainability/managing-climate-related-risks/metrics-targets/ghg-target/,Not Specified,,,,,Yes,Yes,No,No,"Interim intensity target applies to carbon dioxide and methane. The end target, however, is less clear. ",Yes,,Annual reporting,No,Yes,Not Specified,,18.8
Consolidated Edison,Multi-Utilities,Production of electricity nec,-13.22%,-62.13%,"-1,662,612,366","-1,629,321,510","-335,447","-18,886,217","-4,337,319","-60,786","-1,901,465","-7,625,344","-144,278",24%,7/25/22 18:05,COM-0713,USA,Company,US2091151041,No,Net zero,,,,2040,In corporate strategy,2021,Other,"""Aim for net-zero emissions (Scope 1) by 2040, focusing on decarbonizing our steam system and other company operations.""",,,https://www.coned.com/en/our-energy-future/our-energy-vision/our-energy-future-commitment,Carbon dioxide and other GHGs,,,,,Yes,Not Specified,Not Specified,No,"In addition to the main carbon goal, they also aim to ""Reduce fugitive methane emissions from our natural gas delivery system to net zero by 2040 through continued actions that have already resulted in a 40% reduction in emissions since 2005. """,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,No,Not Specified,,12.2
Constellation Brands,Distillers & Vintners,Manufacture of beverages,-3.19%,-9.96%,"-258,525,129","-94,319,699","-29,372","-1,249,171","-288,337","-4,775","-59,509","-162,597,552","23,286",11%,7/17/22 20:14,COM-1105,USA,Company,US21036P1084,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,8.3
Continental AG,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-2.08%,-104.57%,"-1,037,119,014","-995,265,927","-233,502","-13,069,325","-3,058,362","-41,726","-5,172,777","-20,289,688","12,294",6%,10/3/22 19:56,COM-0309,DEU,Company,DE0005439004,No,Carbon neutral(ity),,,,2050,In corporate strategy,2021,No target,"""In the long term, complete carbon neutrality across the entire value chain is to be achieved in close collaboration with suppliers and customers – and by 2050 at the latest.""
","- All electricity procured by Continental has been carbon-neutral since 2020. 
- From 2022, business with vehicle components for emission-free mobility will be entirely carbon-neutral, from the raw materials right through to the end of the vehicle’s service life. ",Science Based Targets initiative” (SBTi) confirmed Continental's target in 2020,https://www.continental.com/en/press/studies-publications/technology-dossiers/sustainability/carbon-neutrality/,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"""In the long term, complete carbon neutrality across the entire value chain is to be achieved in close collaboration with suppliers and customers – and by 2050 at the latest.""",Yes,"Information on the emission reductions expected from these measures within a certain time period|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Not Specified,Not Specified,,42.9
Covestro,Specialty Chemicals,Chemicals nec,-14.23%,-247.16%,"-1,979,606,691","-1,904,651,782","-430,167","-24,694,737","-5,785,661","-77,875","-4,681,123","-39,254,758","-30,589",4%,10/17/21 10:00,COM-1502,DEU,Company,DE0006062144,No,Emissions intensity target,50,2005,,2025,Declaration / pledge,,No target,,,,,Not Specified,,,,,Not Specified,Not Specified,Not Specified,,,No,,Less than annual reporting,No,No,No,,13.4
Covivio,Office REITs ,"Financial intermediation, except insurance and pension funding (65)",-1.16%,-2.62%,"-15,904,698","-5,527,523","-2,308","-67,404","-15,620",-342,"-7,278","-10,287,290","3,067",23%,3/23/22 16:10,COM-0408,FRA,Company,FR0000064578,No,Zero carbon,,,,2030,In corporate strategy,2021,Emissions reduction target,"'Carbon trajectory: Covivio commits to a 40% reduction in its greenhouse gas emissions between 2010 and 2030 and targets a “Net Zero Carbon” contribution for scopes 1 and 2 by 2030'
https://www.covivio.eu/en/wp-content/uploads/sites/3/2021/11/PR-Carbon-trajectory.pdf
","'By the end of 2020, Covivio had already reduced its emissions by 20% relative to 2010. Ahead of target, the company is accelerating its transition and has set its sights on a 40% reduction in greenhouse gas emissions by 2030 (compared with 34% previously).'
https://www.covivio.eu/en/wp-content/uploads/sites/3/2021/11/PR-Carbon-trajectory.pdf


Objective: 20 kgCO2 e/m2 GIA/year- 2008/2020, 20%
Objective: 20.5 kgCO2 e/m2 GLA/year 2015/2020, 50%
Objective: 29 kgCO2 e/m2 Nütz/year 2017/2025, 15%
Objective: 33.6kgCO2e/m2/year 2008/2020, 40%
https://www.covivio.eu/fr/wp-content/uploads/sites/2/2021/04/2020-Docuement-denregistrement-universel.pdf",https://www.covivio.eu/en/wp-content/uploads/sites/3/2020/06/2019-annual-report-on-sustainable-performance.pdf,https://www.covivio.eu/en/wp-content/uploads/sites/3/2021/11/PR-Carbon-trajectory.pdf,Carbon dioxide only,,,,,Yes,Yes,Yes,,"'This target, which encompasses scopes 1, 2 and 3, covers the full range of Covivio’s European activities (office, residential and hotel real estate) and spans the entire asset life cycle, from materials and construction to remodelling and operation.'",Yes,,Annual reporting,No,Yes,Not Specified,,1.4
Cummins,Construction Machinery & Heavy Trucks,"Manufacture of motor vehicles, trailers and semi-trailers (34)",-0.83%,-7.80%,"-194,939,945","-180,686,995","-72,315","-2,189,877","-502,693","-10,800","-371,299","-11,197,075","91,109",12%,6/16/22 11:14,COM-0273,USA,Company,US2310211063,Yes,Carbon neutral(ity),,,,2050,In corporate strategy,2021,Emissions reduction target,2050 targets: Customer success powered by carbon neutral technologies that address air quality. Carbon neutrality and near zero pollution in Cummins’ facilities and operations.,"Reduce scope 3 absolute lifetime GHG emissions from newly sold products by 25%.


","Note this interim target is for products, they have the target of a 50% for operations by 2030. ",https://www.cummins.com/sites/default/files/2021-05/cummins-tcfd-report-05-19-2021.pdf,Carbon dioxide only,,,,,Yes,Yes,Partial,No,,No,,Annual reporting,No,Not Specified,Not Specified,,19.8
DGB Financial,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",-0.20%,-1.12%,"-5,799,382","-5,651,055","-1,558","-75,396","-17,660",-262,"-4,929","-49,213",692,12%,10/20/21 18:48,COM-1778,KOR,Company,US2521311074,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,2.6
DTE Energy,Multi-Utilities,Production of electricity nec,-80.49%,-573.37%,"-10,246,101,622","-9,573,107,097","-2,504,898","-123,475,029","-29,023,597","-412,770","-1,924,905","-515,954,250","300,924",3%,7/26/22 0:54,COM-0289,USA,Company,,No,Net zero,,,,2050,In corporate strategy,2020,Emissions reduction target,“Net zero carbon emissions [for] electricity delivered to DTE Electric customers [...] natural gas procured by DTE Gas [and from] DTE Gas operations” and “35% reduction in carbon emissions from the combustion of natural gas by DTE Gas customers” by 2050,"""50% reduction in the carbon emissions of electricity delivered to DTE Electric customers."" by 2030 on 2005 baseline
At 25% of energy they provide to come from renewable sources by 2030.

Like all big transformations, the shift to cleaner energy won’t happen overnight, but it has already begun. DTE has 18 wind parks and 32 solar parks, and by 2023, we will have cut carbon emissions by 32% since 2005.

Our bold net zero carbon emissions goal sets the framework for DTE to go beyond its existing commitments to reduce carbon emissions 50% by 2028 and 80% by 2040, ensuring our medium- and long-term plans align with the scientific consensus around the importance of achieving significant economy-wide emissions reduction by 2050.",https://dtecleanenergy.com/downloads/DTE%20Pathway%20to%20Net%20Zero.pdf,https://dtecleanenergy.com/,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,"End Target: Net Zero
Scope 1
Scope 3: Purchased goods & services
and 35% reduction Scope 3: Use of natural gas as above

Interim Target:
pg 21 
https://geg2a4cqgdz35lnem46az2tb-wpengine.netdna-ssl.com/wp-content/uploads/DTE-2021-CDP-Climate-Change.pdf
",No,,No reporting mechanism,No,Yes,Yes,No conditions specified,12
Daiichi Sankyo Co,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.79%,-8.62%,"-66,524,826","-64,230,312","-15,765","-852,565","-199,051","-2,731","-3,268","-1,222,466","1,331",2%,9/8/22 19:01,COM-0862,JPN,Company,JP3475350009,No,Emissions reduction target,37.5,2015,,2030,In corporate strategy,2030,Other,"DAIICHI SANKYO CO., LTD. commits to reduce absolute scope 1 and scope 2 GHG emissions 37.5% by 2030 from a 2015 base year.",,"Early on, the Daiichi Sankyo Group set the goal of reducing its global CO2 emissions by 27.0 percent per a fiscal year 2015 base level by the end of fiscal year 2030, becoming the second corporation in Japan to have its science-based target validated by SBTi. Thereafter, the Daiichi Sankyo Group increased its global emissions reduction target to 37.5 percent, which also received validation from SBTi as being consistent with keeping global warming to well below 2°C above pre-industrial levels.",https://www.daiichisankyo.com/our_stories/detail/index_4090.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,"CO2 emissions (Scope 1 + Scope2) 25% reduction from FY2015
CO2 emissions intensity based on sales (Scope3, Cat1) 15% reduction from FY2020",Yes,"Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures",Annual reporting,No,Not Specified,Not Specified,,9
Daikin Industries,Building Products,Construction (45),-1.84%,-16.16%,"-411,295,362","-402,366,961","-92,959","-5,353,071","-1,253,955","-16,848","-9,435","-2,204,979","2,847",0%,9/16/22 13:54,COM-0259,JPN,Company,JP3481800005,No,Net zero,,,,2050,Declaration / pledge,2020,Other,"'Daikin has formulated Environmental Vision 2050, with a target of reducing greenhouse gas emissions to net zero by 2050' (p9)",See above,"Daikin Group Sustainability Report 2021

Additional source:
https://www.daikin.com/csr/company/vision",https://www.daikin.com/-/media/Project/Daikin/daikin_com/csr/report/2021/daikin_csr2021_Eng_all-pdf.pdf?rev=-1&hash=F0B8EE23298A9C50AC0FA3B6BA170C9C,Not Specified,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Annual reporting,No,Yes,Not Specified,,22.9
Daiwa House Industry Co,Diversified Real Estate Activities ,Real estate activities (70),-0.37%,-4.00%,"-137,157,413","-131,448,925","-32,361","-1,760,807","-407,978","-5,730","-26,661","-3,482,536","7,585",6%,11/1/22 7:51,COM-0252,JPN,Company,JP3505000004,Yes,Net zero,,,,2055,In corporate strategy,2020,Emissions intensity target,https://www.daiwahouse.com/English/sustainable/eco/egp/,"goal to reduce CO2 emissions per unit of sales to about one-third by 2030 and to one-fifth by 2055, compared by 2005'","Key policies of Endless Green Program 2021
1. Promoting “carbon-free” in the fields of products and business activities for achieving SBT, EP100, and RE100
2. Promoting win-win cooperation for reducing environmental risks in supply chains
3. Promoting the development and dissemination of environmentally conscious products and services for boosting business competitiveness
4. Advancing strategic eco communication for improving environmental brand and ESG assessment
5. Enhancing integrated environmental management within the Group and globally for advancing environmental management",https://www.daiwahouse.com/English/sustainable/eco/vision/,Not Specified,,,,,,,,,,Yes,,Annual reporting,Yes,Yes,Yes,Avoid biodiversity harm,40
Dali Foods Group,Packaged Foods & Meats,Processing of Food products nec,-11.02%,-55.65%,"-343,351,816","-195,549,923","-45,381","-2,599,336","-609,500","-8,187","-4,457","-144,536,144","1,111",0%,10/18/21 10:44,COM-1857,CHN,Company,JP3502200003,No,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,3.1
Danaher,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-0.58%,-8.49%,"-49,892,055","-41,502,126","-11,754","-559,534","-127,949","-1,960","-71,985","-7,623,281","6,534",15%,6/16/22 13:01,COM-0591,USA,Company,US2358511028,No,Emissions reduction target,15,2019,,2024,In corporate strategy,2021,No target,,"Reducing energy consumed (on a normalized basis) by 15%
Reducing Scope 1 and 2 greenhouse gas (GHG) emissions (on a normalized basis) by 15%
Reducing percentage of non-hazardous/non-regulated waste sent to landfills or incineration by 15%
We also track a range of other EHS-related KPIs to measure the effectiveness of our program:",,https://sustainability.danaher.com/environment,Not Specified,,,,,Yes,Yes,No,No,,Yes,Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period,Annual reporting,No,Not Specified,Yes,No conditions specified,22.3
Danone,Packaged Foods & Meats,Processing of Food products nec,-1.66%,-11.00%,"-471,455,715","-371,355,510","-99,884","-4,974,248","-1,133,264","-16,786","-436,056","-93,478,583","38,615",13%,10/18/21 9:33,COM-0123,FRA,Company,FR0000120644,Yes,Net zero,,,,2050,In corporate strategy,2020,No target,Race to Zero: Net Zero 2050  -  Commit to achieve net zero CO2 emissions by 2050,,https://www.danone.com/content/dam/danone-corp/danone-com/investors/en-all-publications/2019/registrationdocuments/URD_2019_ENG.pdf,https://www.danone.com/impact/planet/towards-carbon-neutrality.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,,,Yes,Measures for all emission scopes that are covered by the target,Annual reporting,No,Not Specified,Not Specified,,28.303
Darden Restaurants,Restaurants,Other service activities (93),-2.90%,-29.69%,"-246,461,781","-241,126,116","-55,937","-3,201,296","-747,772","-10,112","-8,185","-1,314,877","2,513",3%,7/5/22 12:53,COM-1335,USA,Company,,No,No target,,,,,,,No target,,,"To help us manage climate risks, we commit to:
Measuring and reporting our Scope 3 emissions by the end of fiscal 2022. This is in addition to Scope 1 & 2, which are already publicly reported.
Aligning our climate approach to the Task Force on Climate-related Financial Disclosures (TCFD) by creating a framework that covers Governance, Strategy, Risk Management, and Metrics & Targets.
To help us tackle the climate impacts of our business, we commit to:
Creating a strategy to address Scope 1 & 2 GHG emissions with the goal of achieving 100% renewable energy for our restaurants by 2030
Developing and publicly reporting a Science-based target for both direct operations (Scope 1 & 2) and broader value chain impacts (Scope 3)",https://www.darden.com/our-impact/communities/sustainability/climate-risks,Not Specified,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Annual reporting,No,Not Specified,Not Specified,,8.8
Delta Air Lines,Airlines,Air transport (62),-25.95%,-183.18%,"-12,197,915,585","-11,937,578,541","-2,730,918","-155,016,591","-36,216,747","-495,733","-2,250,429","-63,684,595","57,970",5%,8/18/22 16:10,COM-0240,USA,Company,US2473617023,Yes,Net zero,,,,2050,In corporate strategy,2021,No target,"""Our long-term goal is net zero by no later than 2050, and we have announced our intention to set a net zero GHG emission goal covering our airline operations and value chain (Scopes 1, 2 and 3), in alignment with the United Nations Race to Zero – Business Ambition for 1.5°C campaign"" (Pg.33).",,The company declares its net zero target based on SBTi-1.5°C.,https://www.delta.com/content/dam/delta-www/about-delta/corporate-responsibility/2021-esg-report.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,Yes,"Information on the emission reductions expected from these measures within a certain time period|Measures for all emission scopes that are covered by the target|Schedule for regular review of measures|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,Yes,Yes,Yes,No conditions specified,12.7
Delta Electronics,Electronic Components,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.02%,-14.39%,"-91,264,151","-85,242,079","-18,951","-1,099,465","-256,131","-3,456","-28,633","-4,613,673","-1,763",6%,11/26/21 3:29,COM-1233,TWN,Company,,Yes,Science-based target,,,,2025,In corporate strategy,2017,No target,"Delta implemented Science Based Targets in 2017, committing to a reduction in carbon intensity by 56.6% by 2025.",,https://esg.deltaww.com/en/climate,https://www.deltaww.com/en-us/news/14986,Carbon dioxide only,,,,,Yes,Yes,Not Specified,No,,Yes,,Annual reporting,No,Not Specified,Not Specified,,8.8
Denso,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-1.07%,-18.15%,"-515,993,357","-497,978,666","-119,834","-6,642,340","-1,549,099","-21,260","-41,065","-9,655,636","14,544",4%,10/24/21 17:54,COM-0704,JPN,Company,JP3551500006,No,No target,,,,,,,No target,Denso Eco - Vision (broad) - reduce carbon emissions by 1/2,,"A number of initiatives, but now company-wide GHG footprint targets https://www.denso.com/global/en/about-us/sustainability/environment/ecovision/",https://www.denso.com/global/en/csr/environment-report/management/ecovision/ecovision/#/ACTION_10/2/,Not Specified,,,,,,,,,,,,,,,,,47.4
Deutsche Telekom AG,Integrated Telecommunication Services,Post and telecommunications (64),-0.75%,-6.45%,"-678,082,340","-662,403,185","-157,402","-8,812,866","-2,064,549","-28,179","-105,742","-4,526,646","16,228",3%,8/16/22 19:49,COM-0125,DEU,Company,DE0005557508,Yes,Climate neutral,,,,2040,In corporate strategy,,Other,"Net zero from production to customer by 2040 at the latest.  
",Climate neutrality for in-house emissions by 2025 at the latest. ,"Other sources;
https://www.telekom.com/en/corporate-responsibility/climate-and-environment/is-01-climate-and-environment-context/reducing-co2-355308",https://newclimate.org/wp-content/uploads/2022/02/CorporateClimateResponsibilityMonitor2022.pdf,Not Specified,,,,,Yes,Yes,Yes,No,"scope 1 and 2 by 2025; scope 1,2,3 by 2040 (based on text above)",Yes,Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period,Annual reporting,No,Not Specified,Yes,Other conditions,128.59
Dexus Property,Office REITs ,"Financial intermediation, except insurance and pension funding (65)",-15.53%,-34.29%,"-86,736,563","-42,993,717","-9,876","-571,848","-134,067","-1,794",-253,"-43,025,121",113,0%,10/19/21 18:31,COM-0439,AUS,Company,AU000000DXS1,Yes,Net zero,,,,2022,In corporate strategy,2021,No target,"Bringing forward our net zero
emissions target to 2022
Net zero emissions refers to achieving
an overall balance between greenhouse
gases emitted in operation and
greenhouse gases removed from the
atmosphere. Getting Dexus to net
zero is an opportunity to align with
changing customer sentiment and
meet the increasing investor demands
for low-carbon investments.
We have made great progress on our
goal already and have brought forward
our target to achieve net zero emissions
to 30 June 2022, advancing our original
2030 goal by eight years. Accelerating
our net zero ambition delivers strong
climate action for our planet, enhances
our vision and customer proposition
for smart, sustainable workspaces
and ensures we will be ready for other
opportunities, including supporting our
customers on their own journey.
Our commitment to deliver net zero
emissions by 30 June 2022 will be
achieved by:
1. Our transition to 100% renewable
electricity from base building
operations from July 2021, purchasing
renewable energy in the form of
Large-scale Generation Certificates
or GreenPower
2. Continuing to invest in certified
carbon offsets for our remaining
emissions. We will purchase
accredited nature-based offsets to
account for emissions from natural
gas, wastewater, refrigerants, and
waste/recycling
3. Verifying we are net zero and
maintaining this status through
Australia’s Climate Active carbon
neutral program
In parallel with this transition, our focus
remains on improving energy efficiency
and accelerating the deployment of
on-site renewables (see pages 56-57).
Transitioning to 100% renewable
electricity will account for around
80% of scope 2 and 3 emissions, with
the remaining 20% of scope 1 and 3
emissions to be balanced through
carbon offsets.
This includes emissions for the base
building sources comprising electricity,
natural gas, diesel, refrigerant leakage,
water and wastewater, and waste and
recycling. It excludes tenant sources
such as tenancy electricity.
Enriched Environment continued
Our approach on this journey involves:
– Reducing or eliminating emissions at
source through efficiency practices and
emission-free energy
– Investing locally, prioritising Australianbased projects with a geographic
correlation to the location of our
properties to support those local
communities
– Being transparent and verifiable, by
investing in certified renewable energy
and offset schemes, and certifying
and disclosing our outcomes with
independent verification
– Making a difference in Australia’s
transition, by supporting supply chains
and the development of renewable
energy and abatement projects
In line with the Oxford Offsetting Principles,
published by the University of Oxford,
we will shift towards ‘nature-based’
carbon removal projects over emission
reduction projects due to their ability
to actively reduce atmospheric carbon
dioxide. Initially we will invest in carbon
removal projects such as tree planting
and bush regeneration projects, which
use photosynthesis to capture and
sequest carbon from the atmosphere. As
technologies develop, we will also transition
towards projects that provide higher
permanence or long-lived carbon capture.",,,https://www.dexus.com/investor-centre/results-and-reporting/asx-announcements/2021/august/2021-sustainability-report,Not Specified,,,,,Yes,Yes,Not Specified,No,,No,,Annual reporting,No,Yes,Yes,Other conditions,0.642
Diageo Plc,Distillers & Vintners,Manufacture of beverages,-1.31%,-4.03%,"-213,885,736","-209,452,625","-61,970","-2,750,666","-644,987","-9,778","-101,259","-890,047","25,596",2%,10/19/21 22:01,COM-0622,GBR,Company,GB0002374006,Yes,Science-based target,,,,2030,Declaration / pledge,2021,No target,"Diageo stated that its goal to achieve net zero in direct operations by 2030 (scope 1 and 2 emissions), and a 50% emission reduction in scope 3 have been validated by SBTi as meeting the criteria for the 1.5°C pathway.",,,https://www.esgtoday.com/diageo-climate-goals-approved-by-science-based-targets-initiative-as-in-line-with-1-5c/,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,,"net-0 scope 1/2
50% reduction scope 3",No,,No reporting mechanism,No,Not Specified,Not Specified,,16.8
Digital Realty,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",-24.54%,-157.37%,"-853,100,472","-774,260,770","-177,534","-10,297,153","-2,414,063","-32,278","-2,990","-65,917,083","1,399",0%,10/24/21 14:02,COM-1122,USA,Company,US25278X1090,Yes,Science-based target,,,,2030,In corporate strategy,2020,No target,"In 2020, we set an aggressive carbon emissions target
with the Science-Based Target Initiative (SBTi), joining
more than 1,200 companies that have committed
to setting a target with SBTi, and aligning our
sustainability initiatives with a time-bound goal in line
with climate science. As the first data center operator
of our size and global reach to join the SBTi, we have
committed to reducing our Scope 1 and 2 emissions
(direct and indirect company emissions) by area by
68% and Scope 3 emissions (indirect emissions in our
value chain) by area by 24% by 2030. ",,,https://go2.digitalrealty.com/rs/087-YZJ-646/images/Report_Digital_Realty_2106_2020_ESG_Report.pdf?_ga=2.86568472.1065014167.1635083843-1978395008.1635083843,Not Specified,,,,,Yes,Yes,Yes,No,,No,,No reporting mechanism,No,Not Specified,Yes,No conditions specified,3.2
